,Order ID,Restaurant Name,State,City,Pizza Type,Pizza Size,Toppings Count,Topping Density,Pizza Complexity,Order Month,Order Time,Delivery Time,Delivery Duration (min),Estimated Duration (min),Delay (min),Delay Status,Distance (km),Traffic Level,Payment Category,Payment Method,Is Peak Hour,Is Weekend
0,ORD001,Domino's,New York,New York,Veg,Medium,3,High Density,Low,January,6:30,6:45,15,15,0,On Time,2.5,Medium,Online,Card,TRUE,FALSE
1,ORD002,Papa John's,California,Los Angeles,Non-Veg,Large,4,Medium Density,Medium,February,8:00,8:25,25,30,-5,Early,5,High,Online,Wallet,TRUE,FALSE
2,ORD003,Little Caesars,Illinois,Chicago,Vegan,Small,2,Medium Density,Very Low,March,12:15,12:35,20,18,2,Delayed,3,Low,Online,UPI,FALSE,FALSE
3,ORD004,Pizza Hut,Florida,Miami,Cheese Burst,X-Large,5,High Density,High,April,7:45,8:10,25,27,-2,Early,4.5,Medium,Offline,Cash,TRUE,FALSE
4,ORD005,Marco's Pizza,Texas,Dallas,Non-Veg,Medium,3,High Density,Low,May,1:00,1:20,20,12,8,Delayed,2,High,Online,Card,FALSE,TRUE
5,ORD006,Domino's,New York,New York,Non-Veg,Medium,3,High Density,Low,January,7:00,7:20,20,18,2,Delayed,3,High,Online,Card,TRUE,TRUE
6,ORD007,Papa John's,California,Los Angeles,Veg,Large,4,High Density,Medium,January,8:15,8:40,25,27,-2,Early,4.5,Medium,Online,UPI,TRUE,TRUE
7,ORD008,Little Caesars,Illinois,Chicago,Vegan,Small,2,High Density,Very Low,January,6:30,6:50,20,12,8,Delayed,2,Low,Offline,Cash,TRUE,FALSE
8,ORD009,Pizza Hut,Florida,Miami,Cheese Burst,X-Large,5,High Density,High,January,7:45,8:10,25,30,-5,Early,5,High,Online,Wallet,TRUE,FALSE
9,ORD010,Marco's Pizza,Texas,Dallas,Non-Veg,Medium,3,High Density,Low,January,1:00,1:20,20,21,-1,Early,3.5,Medium,Online,Card,FALSE,FALSE
10,ORD011,Domino's,California,San Francisco,Veg,Large,4,High Density,Medium,January,5:30,5:50,20,24,-4,Early,4,Low,Online,UPI,FALSE,FALSE
11,ORD012,Papa John's,Texas,Houston,Non-Veg,Medium,3,High Density,Low,January,7:00,7:25,25,18,7,Delayed,3,Medium,Offline,Cash,TRUE,FALSE
12,ORD013,Little Caesars,Arizona,Phoenix,Vegan,Small,2,Medium Density,Very Low,January,6:15,6:35,20,15,5,Delayed,2.5,High,Online,Wallet,TRUE,TRUE
13,ORD014,Pizza Hut,Georgia,Atlanta,Cheese Burst,X-Large,5,High Density,High,January,8:30,8:55,25,24,1,Delayed,4,Low,Online,Card,TRUE,TRUE
14,ORD015,Marco's Pizza,Washington,Seattle,Non-Veg,Medium,3,High Density,Low,January,2:00,2:20,20,18,2,Delayed,3,Medium,Online,UPI,FALSE,FALSE
15,ORD016,Domino's,Colorado,Denver,Veg,Large,4,High Density,Medium,January,7:45,8:10,25,27,-2,Early,4.5,High,Offline,Cash,TRUE,FALSE
16,ORD017,Papa John's,Massachusetts,Boston,Vegan,Small,2,High Density,Very Low,January,6:30,6:55,25,12,13,Delayed,2,Low,Online,Wallet,TRUE,FALSE
17,ORD018,Little Caesars,Texas,Dallas,Non-Veg,Medium,3,High Density,Low,January,8:00,8:20,20,21,-1,Early,3.5,Medium,Online,Card,TRUE,FALSE
18,ORD019,Pizza Hut,California,Los Angeles,Cheese Burst,X-Large,5,High Density,High,January,7:15,7:40,25,24,1,Delayed,4,High,Online,UPI,TRUE,FALSE
19,ORD020,Marco's Pizza,Illinois,Chicago,Non-Veg,Medium,3,High Density,Low,January,1:30,1:50,20,18,2,Delayed,3,Low,Offline,Cash,FALSE,TRUE
20,ORD021,Domino's,Florida,Miami,Veg,Large,4,High Density,Medium,January,6:45,7:10,25,27,-2,Early,4.5,Medium,Online,Wallet,TRUE,TRUE
21,ORD022,Papa John's,Texas,Dallas,Vegan,Small,2,High Density,Very Low,January,8:00,8:25,25,12,13,Delayed,2,High,Online,Card,TRUE,FALSE
